id,german,english,german_sentence,english_sentence
510,vielleicht,perhaps,"Gestern habe ich ein Buch gelesen, in dem oft 'vielleicht' stand.",Yesterday I read a book in which often 'vielleicht' appeared.
511,pflücken,pick,"Gestern habe ich ein Buch gelesen, in dem oft 'pflücken' stand.",Yesterday I read a book in which often 'pflücken' appeared.
512,plötzlich,sudden,'plötzlich' ist ein wichtiges Wort in der deutschen Sprache.,'plötzlich' is an important word in the German language.
513,zählen,count,Mit 'zählen' kann man viele Sätze bilden.,With 'zählen' you can form many sentences.
514,Platz,square,Mit 'Platz' kann man viele Sätze bilden.,With 'Platz' you can form many sentences.
515,Grund,reason,Ich benutze oft das Wort 'Grund' im Alltag.,I often use the word 'Grund' in daily life.
516,Dauer,length,'Dauer' ist ein wichtiges Wort in der deutschen Sprache.,'Dauer' is an important word in the German language.
517,vertreten,represent,Ich benutze oft das Wort 'vertreten' im Alltag.,I often use the word 'vertreten' in daily life.
518,Kunst,art,Mit 'Kunst' kann man viele Sätze bilden.,With 'Kunst' you can form many sentences.
519,Thema,subject,"Kannst du mir bitte erklären, was 'Thema' bedeutet?",Can you please explain to me what 'Thema' means?
520,Region,region,Ich benutze oft das Wort 'Region' im Alltag.,I often use the word 'Region' in daily life.
521,Größe,size,"Gestern habe ich ein Buch gelesen, in dem oft 'Größe' stand.",Yesterday I read a book in which often 'Größe' appeared.
522,variieren,vary,"Gestern habe ich ein Buch gelesen, in dem oft 'variieren' stand.",Yesterday I read a book in which often 'variieren' appeared.
523,regeln,settle,"Gestern habe ich ein Buch gelesen, in dem oft 'regeln' stand.",Yesterday I read a book in which often 'regeln' appeared.
524,sprechen,speak,Mit 'sprechen' kann man viele Sätze bilden.,With 'sprechen' you can form many sentences.
525,Gewicht,weight,Ich benutze oft das Wort 'Gewicht' im Alltag.,I often use the word 'Gewicht' in daily life.
526,allgemein,general,"Gestern habe ich ein Buch gelesen, in dem oft 'allgemein' stand.",Yesterday I read a book in which often 'allgemein' appeared.
527,Eis,ice,'Eis' ist ein wichtiges Wort in der deutschen Sprache.,'Eis' is an important word in the German language.
528,Materie,matter,'Materie' ist ein wichtiges Wort in der deutschen Sprache.,'Materie' is an important word in the German language.
529,Kreis,circle,"Kannst du mir bitte erklären, was 'Kreis' bedeutet?",Can you please explain to me what 'Kreis' means?
530,Paar,pair,"Gestern habe ich ein Buch gelesen, in dem oft 'Paar' stand.",Yesterday I read a book in which often 'Paar' appeared.
531,umfassen,include,Ich benutze oft das Wort 'umfassen' im Alltag.,I often use the word 'umfassen' in daily life.
532,Kluft,divide,'Kluft' ist ein wichtiges Wort in der deutschen Sprache.,'Kluft' is an important word in the German language.
533,Silbe,syllable,Mit 'Silbe' kann man viele Sätze bilden.,With 'Silbe' you can form many sentences.
534,Filz,felt,Ich benutze oft das Wort 'Filz' im Alltag.,I often use the word 'Filz' in daily life.
535,groß,grand,Ich benutze oft das Wort 'groß' im Alltag.,I often use the word 'groß' in daily life.
536,Kugel,ball,"Gestern habe ich ein Buch gelesen, in dem oft 'Kugel' stand.",Yesterday I read a book in which often 'Kugel' appeared.
537,noch,yet,"Kannst du mir bitte erklären, was 'noch' bedeutet?",Can you please explain to me what 'noch' means?
538,Welle,wave,"Gestern habe ich ein Buch gelesen, in dem oft 'Welle' stand.",Yesterday I read a book in which often 'Welle' appeared.
539,fallen,drop,Mit 'fallen' kann man viele Sätze bilden.,With 'fallen' you can form many sentences.
540,Herz,heart,"Gestern habe ich ein Buch gelesen, in dem oft 'Herz' stand.",Yesterday I read a book in which often 'Herz' appeared.
541,Uhr,am,Mit 'Uhr' kann man viele Sätze bilden.,With 'Uhr' you can form many sentences.
542,vorhanden,present,Mit 'vorhanden' kann man viele Sätze bilden.,With 'vorhanden' you can form many sentences.
543,schwer,heavy,'schwer' ist ein wichtiges Wort in der deutschen Sprache.,'schwer' is an important word in the German language.
544,Tanz,dance,'Tanz' ist ein wichtiges Wort in der deutschen Sprache.,'Tanz' is an important word in the German language.
545,Motor,engine,"Gestern habe ich ein Buch gelesen, in dem oft 'Motor' stand.",Yesterday I read a book in which often 'Motor' appeared.
546,Position,position,Ich benutze oft das Wort 'Position' im Alltag.,I often use the word 'Position' in daily life.
547,Arm,arm,'Arm' ist ein wichtiges Wort in der deutschen Sprache.,'Arm' is an important word in the German language.
548,breit,wide,"Kannst du mir bitte erklären, was 'breit' bedeutet?",Can you please explain to me what 'breit' means?
549,Segel,sail,Mit 'Segel' kann man viele Sätze bilden.,With 'Segel' you can form many sentences.
550,Material,material,"Gestern habe ich ein Buch gelesen, in dem oft 'Material' stand.",Yesterday I read a book in which often 'Material' appeared.
551,Fraktion,fraction,'Fraktion' ist ein wichtiges Wort in der deutschen Sprache.,'Fraktion' is an important word in the German language.
552,Wald,forest,'Wald' ist ein wichtiges Wort in der deutschen Sprache.,'Wald' is an important word in the German language.
553,sitzen,sit,'sitzen' ist ein wichtiges Wort in der deutschen Sprache.,'sitzen' is an important word in the German language.
554,Rennen,race,Ich benutze oft das Wort 'Rennen' im Alltag.,I often use the word 'Rennen' in daily life.
555,Fenster,window,Ich benutze oft das Wort 'Fenster' im Alltag.,I often use the word 'Fenster' in daily life.
556,Speicher,store,Mit 'Speicher' kann man viele Sätze bilden.,With 'Speicher' you can form many sentences.
557,Sommer,summer,'Sommer' ist ein wichtiges Wort in der deutschen Sprache.,'Sommer' is an important word in the German language.
558,Zug,train,"Gestern habe ich ein Buch gelesen, in dem oft 'Zug' stand.",Yesterday I read a book in which often 'Zug' appeared.
559,Schlaf,sleep,Ich benutze oft das Wort 'Schlaf' im Alltag.,I often use the word 'Schlaf' in daily life.
560,beweisen,prove,"Kannst du mir bitte erklären, was 'beweisen' bedeutet?",Can you please explain to me what 'beweisen' means?
561,einsam,lone,'einsam' ist ein wichtiges Wort in der deutschen Sprache.,'einsam' is an important word in the German language.
562,Bein,leg,"Kannst du mir bitte erklären, was 'Bein' bedeutet?",Can you please explain to me what 'Bein' means?
563,Übung,exercise,"Gestern habe ich ein Buch gelesen, in dem oft 'Übung' stand.",Yesterday I read a book in which often 'Übung' appeared.
564,Wand,wall,'Wand' ist ein wichtiges Wort in der deutschen Sprache.,'Wand' is an important word in the German language.
565,Fang,catch,'Fang' ist ein wichtiges Wort in der deutschen Sprache.,'Fang' is an important word in the German language.
566,Berg,mount,"Kannst du mir bitte erklären, was 'Berg' bedeutet?",Can you please explain to me what 'Berg' means?
567,wünschen,wish,"Kannst du mir bitte erklären, was 'wünschen' bedeutet?",Can you please explain to me what 'wünschen' means?
568,Himmel,sky,'Himmel' ist ein wichtiges Wort in der deutschen Sprache.,'Himmel' is an important word in the German language.
569,Board,board,"Kannst du mir bitte erklären, was 'Board' bedeutet?",Can you please explain to me what 'Board' means?
570,Freude,joy,"Gestern habe ich ein Buch gelesen, in dem oft 'Freude' stand.",Yesterday I read a book in which often 'Freude' appeared.
571,Winter,winter,"Kannst du mir bitte erklären, was 'Winter' bedeutet?",Can you please explain to me what 'Winter' means?
572,sa,sat,"Kannst du mir bitte erklären, was 'sa' bedeutet?",Can you please explain to me what 'sa' means?
573,geschrieben,written,'geschrieben' ist ein wichtiges Wort in der deutschen Sprache.,'geschrieben' is an important word in the German language.
574,wilden,wild,Mit 'wilden' kann man viele Sätze bilden.,With 'wilden' you can form many sentences.
575,Instrument,instrument,Mit 'Instrument' kann man viele Sätze bilden.,With 'Instrument' you can form many sentences.
576,gehalten,kept,"Gestern habe ich ein Buch gelesen, in dem oft 'gehalten' stand.",Yesterday I read a book in which often 'gehalten' appeared.
577,Glas,glass,"Gestern habe ich ein Buch gelesen, in dem oft 'Glas' stand.",Yesterday I read a book in which often 'Glas' appeared.
578,Gras,grass,'Gras' ist ein wichtiges Wort in der deutschen Sprache.,'Gras' is an important word in the German language.
579,Kuh,cow,"Gestern habe ich ein Buch gelesen, in dem oft 'Kuh' stand.",Yesterday I read a book in which often 'Kuh' appeared.
580,Arbeit,job,"Gestern habe ich ein Buch gelesen, in dem oft 'Arbeit' stand.",Yesterday I read a book in which often 'Arbeit' appeared.
581,Rand,edge,'Rand' ist ein wichtiges Wort in der deutschen Sprache.,'Rand' is an important word in the German language.
582,Zeichen,sign,"Gestern habe ich ein Buch gelesen, in dem oft 'Zeichen' stand.",Yesterday I read a book in which often 'Zeichen' appeared.
583,Besuch,visit,Ich benutze oft das Wort 'Besuch' im Alltag.,I often use the word 'Besuch' in daily life.
584,Vergangenheit,past,Ich benutze oft das Wort 'Vergangenheit' im Alltag.,I often use the word 'Vergangenheit' in daily life.
585,weich,soft,"Gestern habe ich ein Buch gelesen, in dem oft 'weich' stand.",Yesterday I read a book in which often 'weich' appeared.
586,Spaß,fun,Mit 'Spaß' kann man viele Sätze bilden.,With 'Spaß' you can form many sentences.
587,hell,bright,"Kannst du mir bitte erklären, was 'hell' bedeutet?",Can you please explain to me what 'hell' means?
588,Gases,gas,Mit 'Gases' kann man viele Sätze bilden.,With 'Gases' you can form many sentences.
589,Wetter,weather,Ich benutze oft das Wort 'Wetter' im Alltag.,I often use the word 'Wetter' in daily life.
590,Monat,month,'Monat' ist ein wichtiges Wort in der deutschen Sprache.,'Monat' is an important word in the German language.
591,Million,million,"Kannst du mir bitte erklären, was 'Million' bedeutet?",Can you please explain to me what 'Million' means?
592,tragen,bear,'tragen' ist ein wichtiges Wort in der deutschen Sprache.,'tragen' is an important word in the German language.
593,Finish,finish,"Kannst du mir bitte erklären, was 'Finish' bedeutet?",Can you please explain to me what 'Finish' means?
594,glücklich,happy,"Gestern habe ich ein Buch gelesen, in dem oft 'glücklich' stand.",Yesterday I read a book in which often 'glücklich' appeared.
595,hoffen,hope,Ich benutze oft das Wort 'hoffen' im Alltag.,I often use the word 'hoffen' in daily life.
596,blume,flower,"Kannst du mir bitte erklären, was 'blume' bedeutet?",Can you please explain to me what 'blume' means?
597,kleiden,clothe,"Kannst du mir bitte erklären, was 'kleiden' bedeutet?",Can you please explain to me what 'kleiden' means?
598,seltsam,strange,"Gestern habe ich ein Buch gelesen, in dem oft 'seltsam' stand.",Yesterday I read a book in which often 'seltsam' appeared.
599,Vorbei,gone,Mit 'Vorbei' kann man viele Sätze bilden.,With 'Vorbei' you can form many sentences.
600,Handel,trade,Ich benutze oft das Wort 'Handel' im Alltag.,I often use the word 'Handel' in daily life.
601,Melodie,melody,'Melodie' ist ein wichtiges Wort in der deutschen Sprache.,'Melodie' is an important word in the German language.
602,Reise,trip,Ich benutze oft das Wort 'Reise' im Alltag.,I often use the word 'Reise' in daily life.
603,Büro,office,"Kannst du mir bitte erklären, was 'Büro' bedeutet?",Can you please explain to me what 'Büro' means?
604,empfangen,receive,'empfangen' ist ein wichtiges Wort in der deutschen Sprache.,'empfangen' is an important word in the German language.
605,Reihe,row,Ich benutze oft das Wort 'Reihe' im Alltag.,I often use the word 'Reihe' in daily life.
606,Mund,mouth,"Kannst du mir bitte erklären, was 'Mund' bedeutet?",Can you please explain to me what 'Mund' means?
607,genau,exact,Mit 'genau' kann man viele Sätze bilden.,With 'genau' you can form many sentences.
608,Zeichen,symbol,"Kannst du mir bitte erklären, was 'Zeichen' bedeutet?",Can you please explain to me what 'Zeichen' means?
609,sterben,die,Ich benutze oft das Wort 'sterben' im Alltag.,I often use the word 'sterben' in daily life.
610,am wenigsten,least,"Kannst du mir bitte erklären, was 'am wenigsten' bedeutet?",Can you please explain to me what 'am wenigsten' means?
611,Ärger,trouble,Mit 'Ärger' kann man viele Sätze bilden.,With 'Ärger' you can form many sentences.
612,Schrei,shout,Mit 'Schrei' kann man viele Sätze bilden.,With 'Schrei' you can form many sentences.
613,außer,except,Mit 'außer' kann man viele Sätze bilden.,With 'außer' you can form many sentences.
614,schrieb,wrote,Ich benutze oft das Wort 'schrieb' im Alltag.,I often use the word 'schrieb' in daily life.
615,Samen,seed,Mit 'Samen' kann man viele Sätze bilden.,With 'Samen' you can form many sentences.
616,Ton,tone,'Ton' ist ein wichtiges Wort in der deutschen Sprache.,'Ton' is an important word in the German language.
617,beitreten,join,Ich benutze oft das Wort 'beitreten' im Alltag.,I often use the word 'beitreten' in daily life.
618,vorschlagen,suggest,Mit 'vorschlagen' kann man viele Sätze bilden.,With 'vorschlagen' you can form many sentences.
619,sauber,clean,Mit 'sauber' kann man viele Sätze bilden.,With 'sauber' you can form many sentences.
620,Pause,break,"Gestern habe ich ein Buch gelesen, in dem oft 'Pause' stand.",Yesterday I read a book in which often 'Pause' appeared.
621,Dame,lady,"Gestern habe ich ein Buch gelesen, in dem oft 'Dame' stand.",Yesterday I read a book in which often 'Dame' appeared.
622,Hof,yard,"Kannst du mir bitte erklären, was 'Hof' bedeutet?",Can you please explain to me what 'Hof' means?
623,steigen,rise,Mit 'steigen' kann man viele Sätze bilden.,With 'steigen' you can form many sentences.
624,schlecht,bad,Mit 'schlecht' kann man viele Sätze bilden.,With 'schlecht' you can form many sentences.
625,Schlag,blow,'Schlag' ist ein wichtiges Wort in der deutschen Sprache.,'Schlag' is an important word in the German language.
626,Öl,oil,"Gestern habe ich ein Buch gelesen, in dem oft 'Öl' stand.",Yesterday I read a book in which often 'Öl' appeared.
627,Blut,blood,"Kannst du mir bitte erklären, was 'Blut' bedeutet?",Can you please explain to me what 'Blut' means?
628,berühren,touch,Mit 'berühren' kann man viele Sätze bilden.,With 'berühren' you can form many sentences.
629,wuchs,grew,'wuchs' ist ein wichtiges Wort in der deutschen Sprache.,'wuchs' is an important word in the German language.
630,Cent,cent,'Cent' ist ein wichtiges Wort in der deutschen Sprache.,'Cent' is an important word in the German language.
631,mischen,mix,'mischen' ist ein wichtiges Wort in der deutschen Sprache.,'mischen' is an important word in the German language.
632,Mannschaft,team,'Mannschaft' ist ein wichtiges Wort in der deutschen Sprache.,'Mannschaft' is an important word in the German language.
633,Draht,wire,Mit 'Draht' kann man viele Sätze bilden.,With 'Draht' you can form many sentences.
634,Kosten,cost,"Gestern habe ich ein Buch gelesen, in dem oft 'Kosten' stand.",Yesterday I read a book in which often 'Kosten' appeared.
635,verloren,lost,'verloren' ist ein wichtiges Wort in der deutschen Sprache.,'verloren' is an important word in the German language.
636,braun,brown,'braun' ist ein wichtiges Wort in der deutschen Sprache.,'braun' is an important word in the German language.
637,tragen,wear,"Kannst du mir bitte erklären, was 'tragen' bedeutet?",Can you please explain to me what 'tragen' means?
638,Garten,garden,"Gestern habe ich ein Buch gelesen, in dem oft 'Garten' stand.",Yesterday I read a book in which often 'Garten' appeared.
639,gleich,equal,Mit 'gleich' kann man viele Sätze bilden.,With 'gleich' you can form many sentences.
640,gesendet,sent,"Kannst du mir bitte erklären, was 'gesendet' bedeutet?",Can you please explain to me what 'gesendet' means?
641,wählen,choose,Ich benutze oft das Wort 'wählen' im Alltag.,I often use the word 'wählen' in daily life.
642,fiel,fell,"Gestern habe ich ein Buch gelesen, in dem oft 'fiel' stand.",Yesterday I read a book in which often 'fiel' appeared.
643,passen,fit,"Kannst du mir bitte erklären, was 'passen' bedeutet?",Can you please explain to me what 'passen' means?
644,fließen,flow,"Gestern habe ich ein Buch gelesen, in dem oft 'fließen' stand.",Yesterday I read a book in which often 'fließen' appeared.
645,Messe,fair,Mit 'Messe' kann man viele Sätze bilden.,With 'Messe' you can form many sentences.
646,Bank,bank,Ich benutze oft das Wort 'Bank' im Alltag.,I often use the word 'Bank' in daily life.
647,sammeln,collect,Mit 'sammeln' kann man viele Sätze bilden.,With 'sammeln' you can form many sentences.
648,sparen,save,"Kannst du mir bitte erklären, was 'sparen' bedeutet?",Can you please explain to me what 'sparen' means?
649,Kontrolle,control,"Gestern habe ich ein Buch gelesen, in dem oft 'Kontrolle' stand.",Yesterday I read a book in which often 'Kontrolle' appeared.
650,dezimal,decimal,"Kannst du mir bitte erklären, was 'dezimal' bedeutet?",Can you please explain to me what 'dezimal' means?
651,Ohr,ear,'Ohr' ist ein wichtiges Wort in der deutschen Sprache.,'Ohr' is an important word in the German language.
652,sonst,else,"Gestern habe ich ein Buch gelesen, in dem oft 'sonst' stand.",Yesterday I read a book in which often 'sonst' appeared.
653,ganz,quite,'ganz' ist ein wichtiges Wort in der deutschen Sprache.,'ganz' is an important word in the German language.
654,pleite,broke,Ich benutze oft das Wort 'pleite' im Alltag.,I often use the word 'pleite' in daily life.
655,Fall,case,"Gestern habe ich ein Buch gelesen, in dem oft 'Fall' stand.",Yesterday I read a book in which often 'Fall' appeared.
656,Mitte,middle,Mit 'Mitte' kann man viele Sätze bilden.,With 'Withte' you can form many sentences.
657,töten,kill,"Kannst du mir bitte erklären, was 'töten' bedeutet?",Can you please explain to me what 'töten' means?
658,Sohn,son,Mit 'Sohn' kann man viele Sätze bilden.,With 'Sohn' you can form many sentences.
659,See,lake,"Gestern habe ich ein Buch gelesen, in dem oft 'See' stand.",Yesterday I read a book in which often 'See' appeared.
660,Moment,moment,Mit 'Moment' kann man viele Sätze bilden.,With 'Moment' you can form many sentences.
661,Maßstab,scale,'Maßstab' ist ein wichtiges Wort in der deutschen Sprache.,'Maßstab' is an important word in the German language.
662,laut,loud,Mit 'laut' kann man viele Sätze bilden.,With 'laut' you can form many sentences.
663,Frühling,spring,'Frühling' ist ein wichtiges Wort in der deutschen Sprache.,'Frühling' is an important word in the German language.
664,beobachten,observe,"Gestern habe ich ein Buch gelesen, in dem oft 'beobachten' stand.",Yesterday I read a book in which often 'beobachten' appeared.
665,Kind,child,'Kind' ist ein wichtiges Wort in der deutschen Sprache.,'Kind' is an important word in the German language.
666,gerade,straight,Ich benutze oft das Wort 'gerade' im Alltag.,I often use the word 'gerade' in daily life.
667,Konsonant,consonant,"Kannst du mir bitte erklären, was 'Konsonant' bedeutet?",Can you please explain to me what 'Konsonant' means?
668,Nation,nation,'Nation' ist ein wichtiges Wort in der deutschen Sprache.,'Nation' is an important word in the German language.
669,Wörterbuch,dictionary,"Gestern habe ich ein Buch gelesen, in dem oft 'Wörterbuch' stand.",Yesterday I read a book in which often 'Wörterbuch' appeared.
670,milch,milk,"Kannst du mir bitte erklären, was 'milch' bedeutet?",Can you please explain to me what 'milch' means?
671,Geschwindigkeit,speed,"Gestern habe ich ein Buch gelesen, in dem oft 'Geschwindigkeit' stand.",Yesterday I read a book in which often 'Geschwindigkeit' appeared.
672,Verfahren,method,Mit 'Verfahren' kann man viele Sätze bilden.,With 'Verfahren' you can form many sentences.
673,Orgel,organ,Mit 'Orgel' kann man viele Sätze bilden.,With 'Orgel' you can form many sentences.
674,zahlen,pay,"Gestern habe ich ein Buch gelesen, in dem oft 'zahlen' stand.",Yesterday I read a book in which often 'zahlen' appeared.
675,Alter,age,Mit 'Alter' kann man viele Sätze bilden.,With 'Alter' you can form many sentences.
676,Abschnitt,section,Mit 'Abschnitt' kann man viele Sätze bilden.,With 'Abschnitt' you can form many sentences.
677,Kleid,dress,"Kannst du mir bitte erklären, was 'Kleid' bedeutet?",Can you please explain to me what 'Kleid' means?
678,Wolke,cloud,"Gestern habe ich ein Buch gelesen, in dem oft 'Wolke' stand.",Yesterday I read a book in which often 'Wolke' appeared.
679,Überraschung,surprise,Mit 'Überraschung' kann man viele Sätze bilden.,With 'Überraschung' you can form many sentences.
680,ruhig,quiet,Ich benutze oft das Wort 'ruhig' im Alltag.,I often use the word 'ruhig' in daily life.
681,Stein,stone,"Kannst du mir bitte erklären, was 'Stein' bedeutet?",Can you please explain to me what 'Stein' means?
682,winzig,tiny,Ich benutze oft das Wort 'winzig' im Alltag.,I often use the word 'winzig' in daily life.
683,Aufstieg,climb,Ich benutze oft das Wort 'Aufstieg' im Alltag.,I often use the word 'Aufstieg' in daily life.
684,kühlen,cool,Mit 'kühlen' kann man viele Sätze bilden.,With 'kühlen' you can form many sentences.
685,Entwurf,design,Mit 'Entwurf' kann man viele Sätze bilden.,With 'Entwurf' you can form many sentences.
686,arm,poor,'arm' ist ein wichtiges Wort in der deutschen Sprache.,'arm' is an important word in the German language.
687,Menge,lot,"Kannst du mir bitte erklären, was 'Menge' bedeutet?",Can you please explain to me what 'Menge' means?
688,Versuch,experiment,Ich benutze oft das Wort 'Versuch' im Alltag.,I often use the word 'Versuch' in daily life.
689,Boden,bottom,"Gestern habe ich ein Buch gelesen, in dem oft 'Boden' stand.",Yesterday I read a book in which often 'Boden' appeared.
690,Schlüssel,key,'Schlüssel' ist ein wichtiges Wort in der deutschen Sprache.,'Schlüssel' is an important word in the German language.
691,Eisen,iron,'Eisen' ist ein wichtiges Wort in der deutschen Sprache.,'Eisen' is an important word in the German language.
692,Einzel,single,Mit 'Einzel' kann man viele Sätze bilden.,With 'Einzel' you can form many sentences.
693,Stick,stick,Mit 'Stick' kann man viele Sätze bilden.,With 'Stick' you can form many sentences.
694,Wohnung,flat,"Kannst du mir bitte erklären, was 'Wohnung' bedeutet?",Can you please explain to me what 'Wohnung' means?
695,zwanzig,twenty,"Kannst du mir bitte erklären, was 'zwanzig' bedeutet?",Can you please explain to me what 'zwanzig' means?
696,Haut,skin,Ich benutze oft das Wort 'Haut' im Alltag.,I often use the word 'Haut' in daily life.
697,Lächeln,smile,"Gestern habe ich ein Buch gelesen, in dem oft 'Lächeln' stand.",Yesterday I read a book in which often 'Lächeln' appeared.
698,Falte,crease,'Falte' ist ein wichtiges Wort in der deutschen Sprache.,'Falte' is an important word in the German language.
699,Loch,hole,Ich benutze oft das Wort 'Loch' im Alltag.,I often use the word 'Loch' in daily life.
700,springen,jump,Ich benutze oft das Wort 'springen' im Alltag.,I often use the word 'springen' in daily life.
701,Kind,baby,'Kind' ist ein wichtiges Wort in der deutschen Sprache.,'Kind' is an important word in the German language.
702,acht,eight,"Gestern habe ich ein Buch gelesen, in dem oft 'acht' stand.",Yesterday I read a book in which often 'acht' appeared.
703,Dorf,village,"Gestern habe ich ein Buch gelesen, in dem oft 'Dorf' stand.",Yesterday I read a book in which often 'Dorf' appeared.
704,treffen,meet,"Kannst du mir bitte erklären, was 'treffen' bedeutet?",Can you please explain to me what 'treffen' means?
705,Wurzel,root,Ich benutze oft das Wort 'Wurzel' im Alltag.,I often use the word 'Wurzel' in daily life.
706,kaufen,buy,"Gestern habe ich ein Buch gelesen, in dem oft 'kaufen' stand.",Yesterday I read a book in which often 'kaufen' appeared.
707,erhöhen,raise,Mit 'erhöhen' kann man viele Sätze bilden.,With 'erhöhen' you can form many sentences.
708,lösen,solve,Ich benutze oft das Wort 'lösen' im Alltag.,I often use the word 'lösen' in daily life.
709,Metall,metal,'Metall' ist ein wichtiges Wort in der deutschen Sprache.,'Metall' is an important word in the German language.
710,ob,whether,"Kannst du mir bitte erklären, was 'ob' bedeutet?",Can you please explain to me what 'ob' means?
711,drücken,push,Ich benutze oft das Wort 'drücken' im Alltag.,I often use the word 'drücken' in daily life.
712,sieben,seven,"Gestern habe ich ein Buch gelesen, in dem oft 'sieben' stand.",Yesterday I read a book in which often 'sieben' appeared.
713,Absatz,paragraph,'Absatz' ist ein wichtiges Wort in der deutschen Sprache.,'Absatz' is an important word in the German language.
714,dritte,third,Mit 'dritte' kann man viele Sätze bilden.,With 'dritte' you can form many sentences.
715,wird,shall,"Kannst du mir bitte erklären, was 'wird' bedeutet?",Can you please explain to me what 'wird' means?
716,Hand,held,"Gestern habe ich ein Buch gelesen, in dem oft 'Hand' stand.",Yesterday I read a book in which often 'Hand' appeared.
717,Haar,hair,"Gestern habe ich ein Buch gelesen, in dem oft 'Haar' stand.",Yesterday I read a book in which often 'Haar' appeared.
718,beschreiben,describe,Ich benutze oft das Wort 'beschreiben' im Alltag.,I often use the word 'beschreiben' in daily life.
719,Koch,cook,Ich benutze oft das Wort 'Koch' im Alltag.,I often use the word 'Koch' in daily life.
720,Boden,floor,Mit 'Boden' kann man viele Sätze bilden.,With 'Boden' you can form many sentences.
721,entweder,either,Ich benutze oft das Wort 'entweder' im Alltag.,I often use the word 'entweder' in daily life.
722,Ergebnis,result,"Gestern habe ich ein Buch gelesen, in dem oft 'Ergebnis' stand.",Yesterday I read a book in which often 'Ergebnis' appeared.
723,brennen,burn,"Gestern habe ich ein Buch gelesen, in dem oft 'brennen' stand.",Yesterday I read a book in which often 'brennen' appeared.
724,Hügel,hill,"Kannst du mir bitte erklären, was 'Hügel' bedeutet?",Can you please explain to me what 'Hügel' means?
725,sicher,safe,Mit 'sicher' kann man viele Sätze bilden.,With 'sicher' you can form many sentences.
726,Katze,cat,"Kannst du mir bitte erklären, was 'Katze' bedeutet?",Can you please explain to me what 'Katze' means?
727,Jahrhundert,century,Mit 'Jahrhundert' kann man viele Sätze bilden.,With 'Jahrhundert' you can form many sentences.
728,betrachten,consider,Ich benutze oft das Wort 'betrachten' im Alltag.,I often use the word 'betrachten' in daily life.
729,Typ,type,'Typ' ist ein wichtiges Wort in der deutschen Sprache.,'Typ' is an important word in the German language.
730,Gesetz,law,Mit 'Gesetz' kann man viele Sätze bilden.,With 'Gesetz' you can form many sentences.
731,Bit,bit,Ich benutze oft das Wort 'Bit' im Alltag.,I often use the word 'Bit' in daily life.
732,Küste,coast,"Kannst du mir bitte erklären, was 'Küste' bedeutet?",Can you please explain to me what 'Küste' means?
733,Kopie,copy,"Gestern habe ich ein Buch gelesen, in dem oft 'Kopie' stand.",Yesterday I read a book in which often 'Kopie' appeared.
734,Ausdruck,phrase,'Ausdruck' ist ein wichtiges Wort in der deutschen Sprache.,'Ausdruck' is an important word in the German language.
735,still,silent,'still' ist ein wichtiges Wort in der deutschen Sprache.,'still' is an important word in the German language.
736,hoch,tall,"Gestern habe ich ein Buch gelesen, in dem oft 'hoch' stand.",Yesterday I read a book in which often 'hoch' appeared.
737,Sand,sand,"Gestern habe ich ein Buch gelesen, in dem oft 'Sand' stand.",Yesterday I read a book in which often 'Sand' appeared.
738,Boden,soil,Ich benutze oft das Wort 'Boden' im Alltag.,I often use the word 'Boden' in daily life.
739,Rolle,roll,Mit 'Rolle' kann man viele Sätze bilden.,With 'Rolle' you can form many sentences.
740,Temperatur,temperature,Ich benutze oft das Wort 'Temperatur' im Alltag.,I often use the word 'Temperatur' in daily life.
741,Finger,finger,"Kannst du mir bitte erklären, was 'Finger' bedeutet?",Can you please explain to me what 'Finger' means?
742,Industrie,industry,'Industrie' ist ein wichtiges Wort in der deutschen Sprache.,'Industrie' is an important word in the German language.
743,Wert,value,"Gestern habe ich ein Buch gelesen, in dem oft 'Wert' stand.",Yesterday I read a book in which often 'Wert' appeared.
744,Kampf,fight,"Kannst du mir bitte erklären, was 'Kampf' bedeutet?",Can you please explain to me what 'Kampf' means?
745,Lüge,lie,Mit 'Lüge' kann man viele Sätze bilden.,With 'Lüge' you can form many sentences.
746,schlagen,beat,"Kannst du mir bitte erklären, was 'schlagen' bedeutet?",Can you please explain to me what 'schlagen' means?
747,begeistern,excite,'begeistern' ist ein wichtiges Wort in der deutschen Sprache.,'begeistern' is an important word in the German language.
748,natürlich,natural,Ich benutze oft das Wort 'natürlich' im Alltag.,I often use the word 'natürlich' in daily life.
749,Blick,view,Mit 'Blick' kann man viele Sätze bilden.,With 'Blick' you can form many sentences.
750,Sinn,sense,'Sinn' ist ein wichtiges Wort in der deutschen Sprache.,'Sinn' is an important word in the German language.
751,Hauptstadt,capital,'Hauptstadt' ist ein wichtiges Wort in der deutschen Sprache.,'Hauptstadt' is an important word in the German language.
752,wird nicht,won’t,"Kannst du mir bitte erklären, was 'wird nicht' bedeutet?",Can you please explain to me what 'wird nicht' means?
753,Stuhl,chair,Mit 'Stuhl' kann man viele Sätze bilden.,With 'Stuhl' you can form many sentences.
754,Achtung,danger,Ich benutze oft das Wort 'Achtung' im Alltag.,I often use the word 'Achtung' in daily life.
755,Obst,fruit,Mit 'Obst' kann man viele Sätze bilden.,With 'Obst' you can form many sentences.
756,reich,rich,Mit 'reich' kann man viele Sätze bilden.,With 'reich' you can form many sentences.
